layer,dialect,ProtoAcc_TEN_dialect
0,afr_Latn,0.26
0,ben_Beng,0.26
0,eng_Latn,0.26
0,fra_Latn,0.26
0,hin_Deva,0.26
0,spa_Latn,0.26
0,swh_Latn,0.26
0,urd_Latn,0.26
0,yor_Latn,0.26
1,afr_Latn,0.2
1,ben_Beng,0.2
1,eng_Latn,0.2
1,fra_Latn,0.2
1,hin_Deva,0.2
1,spa_Latn,0.2
1,swh_Latn,0.2
1,urd_Latn,0.2
1,yor_Latn,0.2
2,afr_Latn,0.26
2,ben_Beng,0.25
2,eng_Latn,0.25
2,fra_Latn,0.26
2,hin_Deva,0.23
2,spa_Latn,0.25
2,swh_Latn,0.21
2,urd_Latn,0.29
2,yor_Latn,0.26
3,afr_Latn,0.25
3,ben_Beng,0.25
3,eng_Latn,0.26
3,fra_Latn,0.25
3,hin_Deva,0.25
3,spa_Latn,0.25
3,swh_Latn,0.25
3,urd_Latn,0.25
3,yor_Latn,0.25
4,afr_Latn,0.25
4,ben_Beng,0.25
4,eng_Latn,0.25
4,fra_Latn,0.25
4,hin_Deva,0.25
4,spa_Latn,0.25
4,swh_Latn,0.25
4,urd_Latn,0.25
4,yor_Latn,0.25
5,afr_Latn,0.2
5,ben_Beng,0.2
5,eng_Latn,0.2
5,fra_Latn,0.2
5,hin_Deva,0.2
5,spa_Latn,0.2
5,swh_Latn,0.2
5,urd_Latn,0.2
5,yor_Latn,0.2
6,afr_Latn,0.2
6,ben_Beng,0.2
6,eng_Latn,0.2
6,fra_Latn,0.2
6,hin_Deva,0.2
6,spa_Latn,0.2
6,swh_Latn,0.2
6,urd_Latn,0.2
6,yor_Latn,0.2
7,afr_Latn,0.2
7,ben_Beng,0.2
7,eng_Latn,0.2
7,fra_Latn,0.19
7,hin_Deva,0.2
7,spa_Latn,0.2
7,swh_Latn,0.2
7,urd_Latn,0.2
7,yor_Latn,0.2
8,afr_Latn,0.25
8,ben_Beng,0.25
8,eng_Latn,0.25
8,fra_Latn,0.25
8,hin_Deva,0.25
8,spa_Latn,0.25
8,swh_Latn,0.25
8,urd_Latn,0.25
8,yor_Latn,0.25
9,afr_Latn,0.25
9,ben_Beng,0.25
9,eng_Latn,0.25
9,fra_Latn,0.25
9,hin_Deva,0.25
9,spa_Latn,0.25
9,swh_Latn,0.25
9,urd_Latn,0.25
9,yor_Latn,0.25
10,afr_Latn,0.25
10,ben_Beng,0.25
10,eng_Latn,0.25
10,fra_Latn,0.25
10,hin_Deva,0.25
10,spa_Latn,0.25
10,swh_Latn,0.25
10,urd_Latn,0.25
10,yor_Latn,0.25
11,afr_Latn,0.19
11,ben_Beng,0.25
11,eng_Latn,0.2
11,fra_Latn,0.19
11,hin_Deva,0.2
11,spa_Latn,0.2
11,swh_Latn,0.15
11,urd_Latn,0.23
11,yor_Latn,0.19
12,afr_Latn,0.24
12,ben_Beng,0.25
12,eng_Latn,0.25
12,fra_Latn,0.25
12,hin_Deva,0.25
12,spa_Latn,0.26
12,swh_Latn,0.25
12,urd_Latn,0.25
12,yor_Latn,0.25
13,afr_Latn,0.2
13,ben_Beng,0.21
13,eng_Latn,0.2
13,fra_Latn,0.2
13,hin_Deva,0.21
13,spa_Latn,0.2
13,swh_Latn,0.2
13,urd_Latn,0.2
13,yor_Latn,0.2
